Timestamp,Engagement,Spherical_Emotion,Temp,Sphere_Vector,Valence,Arousal,Dominance
1741273754.698694,0.9891896079463496,Admiration,0.8300004739150806,"[-0.6155868934558277, 0.43064083116756613, 0.6600009478301612]",4.544000000000001,5.4888999999999974,5.319000000000001
1741273764.883297,0.9655979924869623,Admiration,0.819167301666825,"[-0.619845117042278, 0.4564219156282006, 0.6383346033336501]",4.584300000000002,5.428099999999997,5.306100000000002
1741273775.0107129,1.0639115004727588,Admiration,0.7940678077073766,"[-0.6926557960586703, 0.41752179112836657, 0.5881356154147531]",4.5043000000000015,5.420899999999997,5.2988
1741273785.1437814,0.9859198307541854,Admiration,0.84380952333499,"[-0.5846660619773186, 0.43051787724623247, 0.68761904666998]",4.584300000000002,5.4888999999999974,5.306100000000002
1741273795.2745028,0.9933178310478,Admiration,0.8252594998295869,"[-0.6316765899516921, 0.42167489466344754, 0.6505189996591738]",4.584300000000002,5.428099999999997,5.2775
1741273805.4066012,0.9874135291151687,Admiration,0.8428043174318088,"[-0.5775228156287878, 0.44317964442045826, 0.6856086348636177]",4.584300000000002,5.4934999999999965,5.319000000000001
1741273815.5396905,0.9913740189540374,Admiration,0.8389975004969256,"[-0.5795651283428849, 0.45213608641231373, 0.6779950009938511]",4.584300000000002,5.486299999999996,5.324300000000001
1741273825.6677892,0.9601455970230288,Admiration,0.8478369670633354,"[-0.5946774715534817, 0.4029844689358116, 0.695673934126671]",4.584300000000002,5.486299999999996,5.281700000000001
1741273835.7927902,0.9973405974899135,Admiration,0.8093664309920148,"[-0.728690614600819, 0.2935636791119306, 0.6187328619840295]",4.5043000000000015,5.420899999999997,5.1997
1741273845.924191,0.9726412955165561,Admiration,0.8428043174318088,"[-0.5775228156287878, 0.44317964442045826, 0.6856086348636177]",4.584300000000002,5.4934999999999965,5.319000000000001
1741273856.0650923,1.1128765780286793,Admiration,0.8662753282679069,"[-0.5030011360177407, 0.458649531531223, 0.7325506565358137]",4.664300000000001,5.4888999999999974,5.306100000000002
1741273866.205202,1.1072315146038842,Admiration,0.806824851887969,"[-0.6536422913380725, 0.4429286579461954, 0.613649703775938]",4.544000000000001,5.428099999999997,5.309
1741273876.340844,0.945670431768885,Admiration,0.8413110679267302,"[-0.5835205056020655, 0.43992140114430683, 0.6826221358534602]",4.584300000000002,5.486299999999996,5.313400000000001
1741273886.4896584,1.0255567052296384,Admiration,0.8207658190911529,"[-0.6336058493523056, 0.43241274828301546, 0.6415316381823057]",4.584300000000002,5.420899999999997,5.2837
